"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"broken","Wed May 03 12:17:45 EET 2023","Wed May 03 12:17:45 EET 2023","0","Default Suite","Pilot Project","com.pilot.pilot_project.LoginTest","com.pilot.pilot_project.LoginTest","tearDown","tearDown",""
"broken","Mon May 15 12:01:01 EET 2023","Mon May 15 12:06:49 EET 2023","348280","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Mon May 15 09:21:28 EET 2023","Mon May 15 09:21:28 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","1","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"failed","Fri May 12 11:53:47 EET 2023","Fri May 12 11:54:58 EET 2023","71756","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"failed","Fri May 12 11:52:39 EET 2023","Fri May 12 11:53:46 EET 2023","67727","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Mon May 15 09:21:28 EET 2023","Mon May 15 09:21:28 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"failed","Fri May 12 12:29:08 EET 2023","Fri May 12 12:30:37 EET 2023","89003","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"failed","Sun May 14 13:38:51 EET 2023","Sun May 14 13:40:03 EET 2023","72126","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"passed","Tue May 16 10:12:39 EET 2023","Tue May 16 10:12:57 EET 2023","17813","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","User_Enter_Payroll_Module","User_Enter_Payroll_Module",""
"broken","Sun May 14 13:41:15 EET 2023","Sun May 14 13:42:12 EET 2023","57341","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","1","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"failed","Fri May 12 10:27:34 EET 2023","Fri May 12 10:28:47 EET 2023","72996","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"passed","Wed May 03 12:23:14 EET 2023","Wed May 03 12:23:25 EET 2023","10459","Default Suite","Pilot Project","com.pilot.pilot_project.LoginTest","com.pilot.pilot_project.LoginTest","changeLanguageToEnglish","changeLanguageToEnglish",""
"failed","Fri May 12 10:59:27 EET 2023","Fri May 12 11:00:19 EET 2023","52048","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","1","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Wed May 03 12:21:12 EET 2023","Wed May 03 12:21:12 EET 2023","1","Default Suite","Pilot Project","com.pilot.pilot_project.LoginTest","com.pilot.pilot_project.LoginTest","changeLanguageToEnglish","changeLanguageToEnglish",""
"failed","Fri May 12 12:00:25 EET 2023","Fri May 12 12:01:33 EET 2023","67567","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Sun May 14 13:42:12 EET 2023","Sun May 14 13:42:12 EET 2023","1","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"broken","Wed May 03 12:21:12 EET 2023","Wed May 03 12:21:12 EET 2023","1","Default Suite","Pilot Project","com.pilot.pilot_project.LoginTest","com.pilot.pilot_project.LoginTest","setUp","setUp",""
